sigma,MACD,Jerk,DCC,SE,Sm,1-SER,ADR
0.0,0.13312405347824097,105.6272390683492,0.06693440428380187,0.14545837837378864,0.0006710537636981628,0.49339614311854046,0.2955334515529009
0.2,0.253785103559494,6258.248942057292,0.5324631860776439,0.24627339215518843,0.004197092326456365,0.5238500535488129,0.4053400459783439
0.4,0.47502967715263367,9794.682454427084,0.6315261044176707,0.4228618294253557,0.008158335997328807,0.6027902762095133,0.3772041909066532
0.6,0.7054772973060608,12130.60791015625,0.6663319946452476,0.5916771875461251,0.012356579677346052,0.6815955738226572,0.30932033455869407
0.8,0.8949735164642334,12723.09765625,0.6509370816599732,0.6883584363614683,0.015746170834266205,0.7352934877077738,0.4545577692037898
1.0,1.1286017894744873,13530.017415364584,0.6586345381526104,0.7515453801934354,0.01971750418808661,0.7856721878051758,0.4496000118717702
1.2,1.3692158460617065,14283.763997395834,0.6690093708165997,0.8230269662025282,0.024166443990781567,0.8277373413244883,0.5047705673426317
1.4,1.5428705215454102,14265.196614583334,0.6509370816599732,0.8436332992770517,0.027134904645747134,0.8547005554040273,0.3570857574742277
1.6,1.8362834453582764,14713.995442708334,0.6626506024096386,0.8835739280789672,0.032262115802611215,0.8863811691602071,0.22896863585585503
1.8,2.067209243774414,15123.38427734375,0.6649933065595717,0.8785848463053273,0.03633440626972815,0.8697115480899811,0.32699690647720153
2.0,2.26017427444458,14510.883463541666,0.6690093708165997,0.8930588371919038,0.040073974545347495,0.8862243990103403,0.5573091942022703
